video-id,video-title,video-link,video-likes,video-views,video-date,video-channel,video-comment-count,comment-id,comment-author,comment-date,comment,comment-likes
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,Ugz2AAHe8qIDTKZ2Y5Z4AaABAg,TudoCelular,2020-01-14T22:49:48Z,Compraria o Galaxy A10s? Ou prefere algum dos outros modelos que citamos?,154
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,Ugz9xxNZYOg4cpH7iRd4AaABAg,Aucilene Rodrigues dos Santos Rodrigues,2021-07-07T22:40:24Z,Eu prefiro a10s que os outros celular .,0
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,UgzodY2ZXlu67XefqaF4AaABAg,Lailton Moura,2021-06-26T23:46:05Z,"Pessoal quando vcs conecta o carregador aparece na parte de cima "" Carregamento por cabo""?",0
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,UgxH-4rMPP0bCXPOcld4AaABAg,Joaquim Lopes - Curiosidades,2021-06-18T19:29:08Z,"Tenho um a10s e me surpreendeu por suas configuraçoes, antes tinha um moto g8 pawer que e bem mais caro e a experiencia de usuario basico e bem mais satisfatoria no a10s;;Otimo para o basico.",1
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,Ugwn_knmXXYJ-cVVoAh4AaABAg,MARCELO RODRIGUES,2021-06-13T23:42:51Z,"Quem projetou os botões desse celular estava chapado, por que só pelo fato da gente segurar o celular já tira print sem necessidade",0
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,Ugwea4n_1YY0l31T5Pp4AaABAg,Luis Miguel Almeida Pinto,2021-06-12T14:36:38Z,A10s sem duvida e demorar a carregar e alguns segundos para ligar nao mata ninguem. O brasileiro e cheio de frescuras se demorar um segundo a mais na impressao digital ja vem com um lista de reclamaçoes.,0
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,UgzXl7khQg0iJ0KQ3VB4AaABAg,Silvana Novais,2021-06-10T22:52:58Z,Eu tenho o a10 é maravilhoso,0
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,UgxzyjWBg5HkxtDax7p4AaABAg,Fabio Faria,2021-06-10T15:41:12Z,Tem gente que reclama muito do a10s mas to a 5 meses com o meu e é um celular muito bom não me arrependo de ter ele,0
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,UgwvQRc_7K75ZZbKa8p4AaABAg,Amanda Maeiro da Silva,2021-06-03T22:56:23Z,"O meu chega amanhã,só vim aqui pra conhece ele msm",1
h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881,UgyQRVWlUosjxVQPs-x4AaABAg,- Strawberry.,2021-05-22T15:12:14Z,Minha filha?o fone da Samsung é perfeito não gostou compra um novo KKK,0
